GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
insights,com.neueda.leap.portfolio.controller,ClientFinancialController,0,27,0,0,0,6,0,4,0,4
insights,com.neueda.leap.onboarding.dto,RegisterUserRequest,29,168,20,12,0,11,14,9,0,7
insights,com.neueda.leap.onboarding.dto,UserResponse,0,61,0,0,0,12,0,2,0,2
insights,com.neueda.leap.onboarding.dto,AddressRequest,21,0,0,0,1,0,1,0,1,0
insights,com.neueda.leap.instrument.repository,JdbcInstrumentRepository,34,31,0,0,10,7,1,3,1,3
insights,com.neueda.leap.order.rules,OrderRuleException.Reason,0,56,0,0,0,9,0,3,0,3
insights,com.neueda.leap.order.rules,OrderRuleException,0,11,0,0,0,2,0,2,0,2
insights,com.neueda.leap.onboarding.enums,NetWorthBracket,9,69,1,3,2,12,2,4,1,3
insights,com.neueda.leap.onboarding.enums,CitizenshipStatus,0,21,0,0,0,4,0,1,0,1
insights,com.neueda.leap.onboarding.enums,RiskProfile,0,21,0,0,0,4,0,1,0,1
insights,com.neueda.leap.onboarding.enums,TraderLevel,0,15,0,0,0,3,0,1,0,1
insights,com.neueda.leap.onboarding.enums,AccountType,0,9,0,0,0,2,0,1,0,1
insights,com.neueda.leap.onboarding.enums,EmploymentStatus,0,33,0,0,0,6,0,1,0,1
insights,com.neueda.leap.onboarding.enums,NetWorthBracketConverter,14,3,4,0,2,2,4,1,2,1
insights,com.neueda.leap.config,SecurityConfig,0,238,0,0,0,45,0,16,0,16
insights,com.neueda.leap.portfolio.service,ClientFinancialQueryService,2,164,1,3,0,37,1,10,0,9
insights,com.neueda.leap.security,JwtAuthenticationFilter,0,60,1,5,0,18,1,4,0,2
insights,com.neueda.leap.security,JwtServiceImpl,0,73,0,0,0,24,0,3,0,3
insights,com.neueda.leap.security,JwtPrincipal,0,9,0,0,0,1,0,1,0,1
insights,com.neueda.leap.security,SsnEncryptionService,91,9,12,0,20,4,8,1,2,1
insights,com.neueda.leap.security,SensitiveLogConverter,0,31,0,0,0,8,0,3,0,3
